Date,Price Earnings Ratio (P/E)
31/10/2022,18.4741
28/10/2022,18.6129
27/10/2022,18.1655
26/10/2022,18.2767
25/10/2022,18.4127
24/10/2022,18.118
21/10/2022,17.9053
20/10/2022,17.4899
19/10/2022,17.6301
18/10/2022,17.7485
17/10/2022,17.548
14/10/2022,17.0953
13/10/2022,17.5096
12/10/2022,17.0665
11/10/2022,17.1228
10/10/2022,17.2352
07/10/2022,17.3653
06/10/2022,17.8656
05/10/2022,18.0506
04/10/2022,18.087
03/10/2022,17.5503
30/09/2022,17.1112
29/09/2022,17.373
28/09/2022,17.7479
27/09/2022,17.4055
26/09/2022,17.4426
23/09/2022,17.6249
22/09/2022,17.9339
21/09/2022,18.0881
20/09/2022,18.4031
19/09/2022,18.6129
16/09/2022,18.4866
15/09/2022,18.6203
14/09/2022,18.8335
13/09/2022,18.7699
12/09/2022,19.6181
09/09/2022,19.4127
08/09/2022,19.121
07/09/2022,18.9954
06/09/2022,18.6535
05/09/2022,18.7302
02/09/2022,18.7302
01/09/2022,18.9335
31/08/2022,18.8656
30/08/2022,19.0148
29/08/2022,19.226
26/08/2022,19.3531
25/08/2022,20.0281
24/08/2022,19.7503
23/08/2022,19.6725
22/08/2022,19.6984
19/08/2022,20.1292
18/08/2022,20.3908
17/08/2022,20.3485
16/08/2022,20.4634
15/08/2022,20.4282
12/08/2022,20.3473
11/08/2022,19.9976
10/08/2022,20.0058
09/08/2022,19.5864
08/08/2022,19.6606
05/08/2022,20.3023
04/08/2022,20.3354
03/08/2022,20.3512
02/08/2022,20.0378
01/08/2022,20.1722
29/07/2022,20.2293
28/07/2022,19.9459
27/07/2022,19.7068
26/07/2022,19.2045
25/07/2022,19.4288
22/07/2022,19.4033
21/07/2022,19.586
20/07/2022,19.3948
19/07/2022,19.2811
18/07/2022,18.7627
15/07/2022,18.921
14/07/2022,18.5645
13/07/2022,18.6203
12/07/2022,18.7037
11/07/2022,18.8782
08/07/2022,19.0984
07/07/2022,19.1142
06/07/2022,18.8324
05/07/2022,18.7654
04/07/2022,18.7357
01/07/2022,18.7357
30/06/2022,18.5693
29/06/2022,18.7334
28/06/2022,18.7468
27/06/2022,19.1321
24/06/2022,19.1892
23/06/2022,18.6201
22/06/2022,18.4443
21/06/2022,18.4683
20/06/2022,18.0271
17/06/2022,18.0271
16/06/2022,17.9875
15/06/2022,18.5933
14/06/2022,18.3259
13/06/2022,18.3953
10/06/2022,19.1373
09/06/2022,19.7111
08/06/2022,20.1917
07/06/2022,20.4123
06/06/2022,20.2183
03/06/2022,20.1551
02/06/2022,20.49
01/06/2022,20.1183
31/05/2022,20.2652
30/05/2022,20.3824
27/05/2022,20.3824
26/05/2022,19.8874
25/05/2022,19.4706
24/05/2022,19.2766
23/05/2022,19.4301
20/05/2022,19.0757
19/05/2022,19.0743
18/05/2022,19.185
17/05/2022,19.9817
16/05/2022,19.5878
13/05/2022,19.6644
12/05/2022,19.206
11/05/2022,19.2313
10/05/2022,19.5447
09/05/2022,19.5121
06/05/2022,20.8596
05/05/2022,20.9787
04/05/2022,21.7527
03/05/2022,21.1223
02/05/2022,21.0197
29/04/2022,20.9009
28/04/2022,21.6879
27/04/2022,21.1641
26/04/2022,21.1198
