Date,BEst P/E Ratio,S5ENRS INDEX ,BEST P/E Ratio ,1FY Local CCY
2025-02-03,15.4136,,,
2025-01-31,15.3508,,,
2025-01-30,15.4248,,,
2025-01-29,15.3791,,,
2025-01-28,15.3588,,,
2025-01-27,15.5133,,,
2025-01-24,15.6255,,,
2025-01-23,15.7757,,,
2025-01-22,15.6728,,,
2025-01-21,15.9907,,,
2025-01-20,16.0879,,,
2025-01-17,16.086,,,
2025-01-16,15.9499,,,
2025-01-15,15.8426,,,
2025-01-14,15.6333,,,
2025-01-13,15.4572,,,
2025-01-10,15.0186,,,
2025-01-09,14.9346,,,
2025-01-08,14.8679,,,
2025-01-07,14.8528,,,
2025-01-06,14.711,,,
2025-01-03,14.7671,,,
2025-01-02,14.6337,,,
2025-01-01,14.3254,,,
2024-12-31,14.3254,,,
2024-12-30,14.1318,,,
2024-12-27,14.1369,,,
2024-12-26,14.1343,,,
2024-12-25,14.1497,,,
2024-12-24,14.1497,,,
2024-12-23,14.0526,,,
2024-12-20,14.0731,,,
2024-12-19,13.9575,,,
2024-12-18,14.0937,,,
2024-12-17,14.4608,,,
2024-12-16,14.5697,,,
2024-12-13,14.9322,,,
2024-12-12,15.016,,,
2024-12-11,15.138,,,
2024-12-10,15.1145,,,
2024-12-09,15.1993,,,
2024-12-06,15.2174,,,
2024-12-05,15.4691,,,
2024-12-04,15.4088,,,
2024-12-03,15.7758,,,
2024-12-02,15.7937,,,
2024-11-29,15.9169,,,
2024-11-28,15.855,,,
2024-11-27,15.8534,,,
2024-11-26,15.8792,,,
2024-11-25,15.7249,,,
2024-11-22,16.0614,,,
2024-11-21,16.043,,,
2024-11-20,15.916,,,
2024-11-19,15.7525,,,
2024-11-18,15.8533,,,
2024-11-15,15.6841,,,
2024-11-14,15.7406,,,
2024-11-13,15.7368,,,
2024-11-12,15.6073,,,
2024-11-11,15.6783,,,
2024-11-08,15.6086,,,
2024-11-07,15.5255,,,
2024-11-06,15.5757,,,
2024-11-05,15.0626,,,
2024-11-04,14.9888,,,
2024-11-01,14.7065,,,
2024-10-31,14.7501,,,
2024-10-30,14.6436,,,
2024-10-29,14.6442,,,
2024-10-28,14.8484,,,
2024-10-25,14.9426,,,
2024-10-24,14.9334,,,
2024-10-23,14.9401,,,
2024-10-22,15.0094,,,
2024-10-21,14.9746,,,
2024-10-18,15.0087,,,
2024-10-17,15.0477,,,
2024-10-16,14.9724,,,
2024-10-15,14.8949,,,
2024-10-14,15.327,,,
2024-10-11,15.2823,,,
2024-10-10,15.1954,,,
2024-10-09,14.9446,,,
2024-10-08,14.8764,,,
2024-10-07,15.2126,,,
2024-10-04,15.1218,,,
2024-10-03,14.9584,,,
2024-10-02,14.6115,,,
2024-10-01,14.4003,,,
2024-09-30,14.0651,,,
2024-09-27,13.8741,,,
2024-09-26,13.5817,,,
2024-09-25,13.8521,,,
2024-09-24,14.12,,,
2024-09-23,14.1646,,,
2024-09-20,13.9165,,,
2024-09-19,13.9357,,,
2024-09-18,13.7608,,,
2024-09-17,13.6778,,,
2024-09-16,13.4605,,,
2024-09-13,13.1656,,,
2024-09-12,13.0693,,,
2024-09-11,12.9033,,,
2024-09-10,13.0237,,,
2024-09-09,13.2516,,,
2024-09-06,13.0905,,,
2024-09-05,13.2435,,,
2024-09-04,13.3377,,,
2024-09-03,13.53,,,
2024-09-02,13.819,,,
2024-08-30,13.8182,,,
2024-08-29,13.7498,,,
2024-08-28,13.5785,,,
2024-08-27,13.6755,,,
2024-08-26,13.8012,,,
2024-08-23,13.6515,,,
2024-08-22,13.5503,,,
2024-08-21,13.5013,,,
2024-08-20,13.4942,,,
2024-08-19,13.8531,,,
2024-08-16,13.727,,,
2024-08-15,13.7434,,,
2024-08-14,13.6157,,,
2024-08-13,13.5204,,,
2024-08-12,13.6349,,,
2024-08-09,13.4388,,,
2024-08-08,13.3847,,,
2024-08-07,13.1155,,,
2024-08-06,13.0292,,,
2024-08-05,12.9911,,,
2024-08-02,13.1851,,,
2024-08-01,13.4601,,,
2024-07-31,13.8053,,,
2024-07-30,13.7581,,,
2024-07-29,13.5364,,,
2024-07-26,13.6576,,,
2024-07-25,13.5969,,,
2024-07-24,13.3946,,,
2024-07-23,13.3671,,,
2024-07-22,13.5776,,,
2024-07-19,13.6035,,,
2024-07-18,13.768,,,
2024-07-17,13.7019,,,
2024-07-16,13.4698,,,
2024-07-15,13.2912,,,
2024-07-12,13.0742,,,
2024-07-11,12.9463,,,
2024-07-10,12.754,,,
2024-07-09,12.6207,,,
2024-07-08,12.6312,,,
2024-07-05,12.6335,,,
2024-07-04,12.8288,,,
2024-07-03,12.7951,,,
2024-07-02,12.7169,,,
2024-07-01,12.7276,,,
2024-06-28,12.6887,,,
2024-06-27,12.6351,,,
2024-06-26,12.6028,,,
2024-06-25,12.7122,,,
2024-06-24,12.7065,,,
2024-06-21,12.3638,,,
2024-06-20,12.4703,,,
2024-06-19,12.2162,,,
2024-06-18,12.2162,,,
2024-06-17,12.1502,,,
2024-06-14,12.1229,,,
2024-06-13,12.2822,,,
2024-06-12,12.3753,,,
2024-06-11,12.505,,,
2024-06-10,12.5365,,,
2024-06-07,12.4497,,,
2024-06-06,12.5199,,,
2024-06-05,12.4434,,,
2024-06-04,12.4413,,,
2024-06-03,12.5634,,,
2024-05-31,12.8864,,,
2024-05-30,12.5722,,,
2024-05-29,12.5339,,,
2024-05-28,12.7551,,,
2024-05-27,12.617,,,
2024-05-24,12.6164,,,
2024-05-23,12.6121,,,
2024-05-22,12.7209,,,
2024-05-21,12.9565,,,
2024-05-20,13.0157,,,
2024-05-17,13.0953,,,
2024-05-16,12.9229,,,
2024-05-15,12.9766,,,
2024-05-14,13.0036,,,
2024-05-13,13.043,,,
2024-05-10,13.0164,,,
2024-05-09,13.0833,,,
2024-05-08,12.8691,,,
2024-05-07,12.4138,,,
2024-05-06,12.4255,,,
2024-05-03,12.3323,,,
2024-05-02,12.3327,,,
2024-05-01,12.2635,,,
2024-04-30,12.4278,,,
2024-04-29,12.9303,,,
2024-04-26,12.6329,,,
2024-04-25,12.7316,,,
2024-04-24,12.6814,,,
2024-04-23,12.666,,,
2024-04-22,12.5999,,,
2024-04-19,12.5661,,,
2024-04-18,12.4298,,,
2024-04-17,12.4841,,,
2024-04-16,12.5812,,,
2024-04-15,12.7268,,,
2024-04-12,12.8679,,,
2024-04-11,13.0966,,,
2024-04-10,13.1143,,,
2024-04-09,13.1351,,,
2024-04-08,13.1193,,,
2024-04-05,13.2649,,,
2024-04-04,13.1901,,,
2024-04-03,13.2458,,,
2024-04-02,13.1806,,,
2024-04-01,13.0388,,,
2024-03-29,12.9462,,,
2024-03-28,12.9462,,,
2024-03-27,12.8643,,,
2024-03-26,12.7551,,,
2024-03-25,12.8565,,,
2024-03-22,12.7426,,,
2024-03-21,12.8003,,,
2024-03-20,12.8253,,,
2024-03-19,12.8343,,,
2024-03-18,12.7257,,,
2024-03-15,12.7728,,,
2024-03-14,12.7601,,,
2024-03-13,12.6195,,,
2024-03-12,12.4298,,,
2024-03-11,12.4465,,,
2024-03-08,12.3284,,,
2024-03-07,12.2769,,,
2024-03-06,12.1775,,,
2024-03-05,12.1138,,,
2024-03-04,12.0451,,,
2024-03-01,12.0827,,,
2024-02-29,11.9504,,,
2024-02-28,11.8908,,,
2024-02-27,11.9034,,,
2024-02-26,11.9452,,,
2024-02-23,11.8941,,,
